ws,hs,wa,ha,a0,a1,a2,a3,direction
400,192,88,288,1,0,0,0,0
400,200,88,288,1,0,0,0,0
400,208,88,288,1,0,0,0,0
400,216,88,288,1,0,0,0,0
400,224,88,288,1,0,0,0,0
400,232,88,288,1,0,0,0,0
400,240,88,288,1,0,0,0,0
400,248,88,288,1,0,0,0,0
400,256,88,288,1,0,0,0,0
400,264,88,288,1,0,0,0,0
400,272,88,288,1,0,0,0,0
400,280,88,288,1,0,0,0,0
400,288,88,288,0,0,0,1,3
392,288,88,288,0,0,0,1,3
384,288,88,288,0,0,0,1,3
376,288,88,288,0,0,0,1,3
368,288,88,288,0,0,0,1,3
360,288,88,288,0,0,0,1,3
352,288,88,288,0,0,0,1,3
344,288,88,288,0,0,0,1,3
336,288,88,288,0,0,0,1,3
328,288,88,288,0,0,0,1,3
320,288,88,288,0,0,0,1,3
312,288,88,288,0,0,0,1,3
304,288,88,288,0,0,0,1,3
296,288,88,288,0,0,0,1,3
288,288,88,288,0,0,0,1,3
280,288,88,288,0,0,0,1,3
272,288,88,288,0,0,0,1,3
264,288,88,288,0,0,0,1,3
256,288,88,288,0,0,0,1,3
248,288,88,288,0,0,0,1,3
240,288,88,288,0,0,0,1,3
232,288,88,288,0,0,0,1,3
224,288,88,288,0,0,0,1,3
216,288,88,288,0,0,0,1,3
208,288,88,288,0,0,0,1,3
200,288,88,288,0,0,0,1,3
192,288,88,288,0,0,0,1,3
184,288,88,288,0,0,0,1,3
176,288,88,288,0,0,0,1,3
168,288,88,288,0,0,0,1,3
160,288,88,288,0,0,0,1,3
152,288,88,288,0,0,0,1,3
144,288,88,288,0,0,0,1,3
136,288,88,288,0,0,0,1,3
128,288,88,288,0,0,0,1,3
120,288,88,288,0,0,0,1,3
112,288,88,288,0,0,0,1,3
104,288,88,288,0,0,0,1,3
96,288,88,288,0,0,0,1,2
96,280,488,96,0,0,1,0,2
96,272,488,96,0,0,1,0,2
96,264,488,96,0,0,1,0,2
96,256,488,96,0,0,1,0,2
96,248,488,96,0,0,1,0,2
96,240,488,96,0,0,1,0,2
96,232,488,96,0,0,1,0,2
96,224,488,96,0,0,1,0,2
